x,y,c
38.03,43,2
54.31,45,2
50.29,39,2
33.6,24,2
45.13,44,2
31.68,31,2
72.36,4,1
48.43,55,2
44.48,36,2
56.54,20,2
54.11,50,2
49.51,29,2
50.66,36,2
61.82,23,1
50.45,15,2
67.7,43,2
41.61,12,2
39.63,31,2
36.08,31,2
45.18,27,2
49.33,28,2
48.66,45,2
53.81,25,2
35.57,44,2
48.83,39,2
69.14,40,2
60.75,59,2
52.01,39,2
47.88,45,2
40.3,30,2
48.52,30,2
55.06,37,2
48.45,28,2
58.65,40,2
69.29,21,1
51.7,21,2
69.95,18,1
53.04,37,2
47.97,27,2
64.01,26,2
61.76,23,1
49.98,28,2
81.96,27,1
56.56,25,2
51.69,30,2
54.83,40,2
54.97,39,2
44.07,27,2
45.95,40,2
42.24,22,2
43.52,49,2
51.33,31,2
56.68,55,2
51.06,24,2
41.95,28,2
53.56,27,2
47.86,45,2
43.74,34,2
41.22,39,2
45.82,42,2
44.74,25,2
53.88,30,2
44.4,29,2
59.01,35,2
53.27,19,2
45.62,25,2
53.16,53,2
50.91,51,2
33.53,42,2
46.92,33,2
59.24,35,2
48.37,32,2
50.26,21,2
38.14,30,2
63.42,26,2
57.46,14,1
63.79,33,2
58.13,30,2
56.35,41,2
52.95,3,1
55.65,27,2
29.44,34,2
49.58,39,2
31.3,33,2
43.48,29,2
48.94,34,2
43.93,32,2
53.83,36,2
53.69,21,2
60.33,8,1
40.97,42,2
49.29,21,2
56.06,34,2
66.16,32,2
32.61,23,2
37.37,25,2
46.04,38,2
57.17,33,2
41.06,31,2
47.21,36,2
55.74,44,2
56.34,25,2
61.53,11,1
61.4,38,2
59.03,29,2
26.76,22,2
48.24,34,2
50.84,33,2
64.25,28,2
23.06,15,2
47.25,23,2
59.19,33,2
32.71,17,2
48.87,25,2
58.68,24,2
51.16,25,2
49.48,34,2
16.05,36,2
53.49,51,2
57.19,19,1
49.38,37,2
38.82,16,2
49.88,37,2
48.81,30,2
58.86,42,2
45.22,39,2
49.25,25,2
71.53,49,2
49.41,38,2
63.19,21,1
48.68,22,2
50.11,34,2
43.56,24,2
49.36,23,2
23.03,21,2
36.14,30,2
37.48,26,2
46.35,35,2
41.54,27,2
66.05,36,2
47.09,27,2
33.84,35,2
41.45,37,2
56.09,9,1
54.66,34,2
53.23,47,2
53.51,33,2
48.56,37,2
35.91,30,2
58.04,28,2
37.16,19,2
42.45,16,2
62.65,41,2
51.42,35,2
46.31,22,2
51.36,33,2
63.62,41,2
56.54,39,2
48.58,36,2
30.37,37,2
51.75,37,2
61.68,24,2
56.54,33,2
41.22,13,2
46.08,35,2
53.21,39,2
57.95,21,2
53.4,45,2
50.32,40,2
62.06,37,2
32.9,36,2
43.48,15,2
47.76,25,2
41.61,4,1
28.72,37,2
53.37,40,2
37.81,34,2
48.7,46,2
53.23,40,2
43.47,33,2
64.55,30,2
59.34,38,2
29.92,49,2
45.67,39,2
44.99,36,2
51.07,13,1
57.87,38,2
57.9,34,2
45.41,32,2
66.97,33,2
49.37,40,2
49.54,21,2
51.73,61,2
29.68,30,2
66.12,38,2
52.68,30,2
50.32,46,2
63.2,40,2
45.12,25,2
38.69,22,2
50.77,32,2
48,23,2
55.36,47,2
53.11,48,2
38.51,28,2
38.96,21,2
27.4,30,2
34.95,35,2
68.86,31,2
60.4,28,2
37.33,38,2
59.63,24,2
33.92,43,2
43.98,6,1
53.74,31,2
45.51,33,2
55.09,19,2
68.87,18,1
58.44,19,1
43.75,19,2
47.07,33,2
47.89,28,2
53.3,41,2
57.02,37,2
43.44,31,2
38.49,21,2
61.08,24,2
62.52,41,2
60.04,34,2
53.63,20,2
44.96,46,2
43.37,50,2
31.88,30,2
41.01,37,2
53.72,13,1
48.05,18,2
63.38,41,2
55.92,22,2
51.54,22,2
39.27,34,2
59.22,14,1
57.77,14,1
60.84,9,1
63.59,21,1
53.12,30,2
58.89,9,1
61.69,36,2
49.56,24,2
45.44,29,2
50.28,21,2
47.42,35,2
45.8,28,2
38.07,23,2
44.13,24,2
51.91,59,2
51.7,36,2
39.66,19,2
49.73,26,2
52.86,24,2
55.81,29,2
42.86,24,2
52.31,25,2
62.35,28,2
32.9,16,2
48.51,23,2
45.33,12,2
49.09,12,1
37.89,14,2
67.15,17,1
48.01,32,2
45.44,28,2
52.54,22,2
59.23,40,2
31.85,37,2
49.4,54,2
51.11,25,2
64.34,47,2
58.32,42,2
46.99,13,2
65.75,34,2
62.34,12,1
51.33,38,2
50,27,2
63.06,27,2
64.66,24,1
54.99,36,2
40.95,35,2
52.29,40,2
40.47,30,2
59.56,42,2
58,46,2
55.12,34,2
59.21,26,2
65.54,39,2
55.64,24,2
62.4,40,2
51.01,22,2
48.83,24,2
57.58,35,2
47.21,34,2
49.26,26,2
59.51,30,2
46.12,33,2
51.7,37,2
85.36,17,1
40.04,35,2
34.77,5,2
45.1,4,1
56,8,1
38.14,5,2
53.39,5,1
50.55,7,1
48.8,6,1
55.99,3,1
48.37,4,1
55.19,6,1
51.51,5,1
43.29,9,2
44.96,7,1
43.45,5,1
48.92,8,1
52.9,6,1
50.99,5,1
45.08,5,1
53.36,2,1
53.27,4,1
51.93,6,1
64.96,6,1
49.22,5,1
59.82,7,1
45.24,4,1
60.4,7,1
35.14,5,2
43.86,6,1
57.49,6,1
47.98,7,1
48.33,7,1
52.42,3,1
40.59,6,1
42.54,3,1
39.43,6,2
67.04,4,1
32.58,5,2
41.75,9,2
55.95,4,1
49.61,4,1
43.04,8,1
33.5,5,2
47.25,6,1
47.47,7,1
29.47,8,2
52.55,2,1
52.6,3,1
58.98,6,1
44.94,4,1
59.72,7,1
57.38,5,1
46.76,6,1
35.58,5,2
42.55,10,2
46.44,5,1
29.66,1,2
30.77,8,2
65.73,8,1
73.5,6,1
41.94,3,1
38.2,6,2
49.47,4,1
42.9,6,1
44.02,4,1
74.03,6,1
41.73,7,1
63.6,4,1
59.71,4,1
51.75,4,1
49.68,5,1
43.6,1,1
60.76,6,1
44.84,2,1
53.99,4,1
46.74,4,1
48.99,7,1
56.28,4,1
49.19,3,1
51.3,5,1
62.3,6,1
64.5,5,1
43.31,3,1
50.87,4,1
33.18,1,2
60.07,2,1
47.48,2,1
38.98,5,1
61.65,4,1
60.52,9,1
50.87,4,1
40.61,4,1
61.48,3,1
50.18,6,1
50.89,10,1
51.97,4,1
52.07,5,1
31.06,3,2
52.44,6,1
35.84,9,2
52.66,7,1
50.39,4,1
54.05,1,1
25.78,3,2
51.53,8,1
36.51,7,2
48.2,6,1
47.23,5,1
60.59,6,1
59.46,8,1
54.7,4,1
45.16,4,1
44.92,3,1
53.44,5,1
32.54,9,2
44.51,5,1
62.26,6,1
39.05,3,1
37.68,4,1
42.33,10,2
66.06,4,1
32.94,7,2
39.67,4,1
63.08,9,1
73.78,4,1
45.24,5,1
59.71,9,1
39.79,6,1
35.93,6,2
49.1,5,1
50.22,8,1
68.63,8,1
62.03,6,1
55.64,7,1
55.4,8,1
52.28,8,1
39.84,1,1
35.52,5,2
48.79,3,1
70.7,2,1
61.92,4,1
59.86,4,1
68.37,5,1
47.65,4,1
46.7,0,1
31.24,1,2
49.47,10,1
50.58,8,1
38.61,6,2
42.83,6,1
59.72,7,1
50.21,2,1
38.04,7,2
66.87,6,1
31.07,3,2
57.66,6,1
50.89,5,1
35.99,5,2
62.2,4,1
56.52,2,1
63.05,1,1
46.99,3,1
30.45,2,2
58.23,6,1
37.05,5,2
31.14,4,2
28.91,4,2
58.82,4,1
34.34,3,2
32.49,3,2
57.76,3,1
73.89,4,1
38.4,8,2
44.13,5,1
42.26,6,1
45.89,7,1
62.56,8,1
53.54,6,1
55.4,4,1
48.81,3,1
51.01,7,1
36.88,7,2
56.42,6,1
39.94,4,1
38.7,8,2
47.39,6,1
64.67,3,1
67.47,5,1
49.39,6,1
43.1,6,1
34.03,5,2
32.72,0,1
60.65,5,1
57.26,6,1
55.1,4,1
61.06,4,1
38.91,4,1
51.35,3,1
56.87,6,1
50.2,5,1
55.34,6,1
47.95,3,1
47.47,6,1
35.44,6,2
31.45,8,2
28.16,3,2
68.57,6,1
41.5,5,1
53.75,8,1
37.47,5,2
55.63,4,1
50.45,7,1
51.61,3,1
38.08,7,2
37.26,5,2
33.01,4,2
45.87,6,1
45.45,4,1
53.15,8,1
54.58,5,1
53.08,2,1
43.09,4,1
34.46,4,2
52.19,4,1
55.54,5,1
51.45,5,1
62.7,1,1
50.18,8,1
53.44,6,1
53.42,4,1
54.52,4,1
50.89,6,1
64.49,9,1
51.92,8,1
57.49,6,1
42.97,1,1
43.27,4,1
44.69,6,1
54.16,3,1
50.07,4,1
48.42,5,1
42.59,6,1
50.69,4,1
62.86,3,1
51.78,2,1
47.89,3,1
38.05,1,1
54.09,4,1
38.88,4,1
58,5,1
42.04,5,1
35.44,2,1
43.73,8,1
65.7,5,1
43.3,5,1
54.89,3,1
54.69,6,1
46.22,6,1
47.7,5,1
39.19,8,2
57.11,3,1
47.65,7,1
38.13,2,1
33.77,4,2
54.62,6,1
51.86,4,1
56.75,6,1
50.98,4,1
46.99,6,1
52.3,4,1
47.64,5,1
28.82,9,2
53.48,2,1
45.16,6,1
56.73,4,1
71.55,4,1
32.1,2,2
41.81,3,1
52.98,3,1
43.82,3,1
40.81,3,1
46.33,8,1
37.48,6,2
42.87,4,1
54.26,5,1
46.69,6,1
48.46,6,1
56.82,8,1
48.73,4,1
38.76,4,1
38.23,2,1
54.06,6,1
42.25,9,2
35.22,3,2
43.64,5,1
45.7,5,1
45.41,6,1
70.97,4,1
36.19,4,2
56.54,3,1
44.52,1,1
42.87,6,1
33.86,5,2
65.17,10,1
42.75,4,1
42.59,6,1
45.15,3,1
49.7,3,1
55.39,2,1
32.12,6,2
60.07,6,1
62.34,3,1
75.84,3,1
49.46,8,1
58.15,7,1
49.1,9,1
45.97,4,1
37.1,6,2
55.74,6,1
42.81,6,1
53.28,5,1
43.15,3,1
54.53,4,1
69.29,4,1
42.99,4,1
66.21,4,1
50.94,5,1
53.75,6,1
45.17,5,1
44.64,7,1
39.62,7,2
54.55,7,1
53.05,4,1
54.35,1,1
48.64,6,1
49.34,5,1
46.83,2,1
31.81,4,2
34.46,3,2
27.3,5,2
53.95,3,1
46.57,6,1
33.36,6,2
36.42,7,2
65.73,5,1
49.9,5,1
56.31,3,1
33.04,3,2
48.62,10,1
47.42,5,1
68.57,4,1
45.07,4,1
56.07,7,1
47.01,6,1
51.53,6,1
51.81,7,1
66.83,6,1
50.79,4,1
46.33,2,1
30.52,11,2
41.67,1,1
53.38,7,1
60.45,6,1
41.56,3,1
28.94,4,2
43.5,8,1
56.31,6,1
67.77,4,1
41.93,2,1
71.73,5,1
57.04,0,1
38.44,7,2
55.64,5,1
57.39,2,1
60.07,3,1
46.69,2,1
46.59,3,1
55.64,3,1
46.09,4,1
46.25,2,1
61.75,8,1
66.17,4,1
58.07,6,1
56.07,4,1
49.81,6,1
49.75,5,1
35.17,9,2
55.71,5,1
49.71,4,1
48.97,3,1
61.79,5,1
42.77,7,1
47.63,8,1
67.19,4,1
52.03,3,1
55.64,5,1
44.09,5,1
49.52,7,1
49.78,4,1
39.56,5,1
50.54,8,1
39.46,9,2
41.69,5,1
48.03,8,1
37.91,5,2
40.81,4,1
58.1,2,1
49.63,5,1
59.36,7,1
37.14,6,2
49.41,6,1
57.34,2,1
46.58,7,1
42.21,6,1
41.14,2,1
37.63,3,1
60.88,5,1
64.56,3,1
58.97,6,1
51.2,6,1
52.84,3,1
22.36,5,2
60.75,2,1
60.38,4,1
64.18,1,1
71.11,6,1
31.35,3,2
52.38,4,1
54.01,4,1
51.31,5,1
65.89,3,1
51.92,7,1
57.51,5,1
48.94,3,1
34.86,6,2
42.96,3,1
38.96,4,1
41.74,8,2
66.37,5,1
31.92,4,2
52.07,6,1
55.77,5,1
59.03,4,1
49.53,7,1
56.58,7,1
33.62,7,2
70.55,6,1
63.68,2,1
61.78,9,1
39.21,8,2
37.13,5,2
57.08,6,1
24.9,8,2
55.34,5,1
43.47,7,1
73.8,6,1
58.36,10,1
52.88,4,1
44.65,6,1
46.85,5,1
55.2,7,1
58.28,0,1
67.36,6,1
50.38,5,1
56.21,1,1
47.79,6,1
63.18,5,1
57.18,5,1
58.44,6,1
60.4,6,1
43.94,4,1
53.34,3,1
42.96,3,1
46.07,3,1
52.09,9,1
57.35,5,1
72.05,7,1
55.19,4,1
33.32,4,2
51.53,4,1
52.11,5,1
46.24,7,1
51.59,6,1
63.62,6,1
59.02,5,1
53.71,6,1
60.37,6,1
56,9,1
58.05,5,1
50.86,6,1
39.44,8,2
44.61,8,1
54.2,10,1
36.76,5,2
74.83,4,1
46.57,6,1
50.74,4,1
46.85,4,1
52.01,4,1
63.96,6,1
68.24,2,1
43.22,7,1
51.73,6,1
44.04,5,1
53.66,6,1
54.99,4,1
59.09,5,1
64.15,6,1
28.36,7,2
57.13,4,1
54.29,9,1
70.87,7,1
46.55,5,1
64.77,5,1
48.84,5,1
51.37,2,1
75.54,7,1
44.68,7,1
46.59,4,1
46.66,8,1
50.36,3,1
51.39,4,1
53.95,2,1
57.78,7,1
45.77,4,1
44.64,6,1
42.6,2,1
63.59,3,1
53.75,6,1
55.88,3,1
31.35,7,2
42.2,5,1
50.1,7,1
40.18,4,1
43.8,3,1
41.84,7,1
57.03,4,1
70.83,5,1
54.96,3,1
72.8,1,1
45.58,5,1
61.79,3,1
39.81,4,1
60.9,3,1
53.76,9,1
55.85,5,1
63.36,6,1
63.15,6,1
58.98,6,1
44.21,5,1
42.09,2,1
39.78,5,1
70.77,5,1
54.82,3,1
54.07,5,1
56.74,7,1
42.78,5,1
22.27,7,2
43.07,4,1
43.5,4,1
58.48,8,1
40.4,6,1
54.84,5,1
51.83,6,1
53.08,2,1
51.08,7,1
63.84,1,1
40.95,6,1
48.07,4,1
63.67,7,1
56.59,2,1
39.37,5,1
46.7,6,1
50.53,6,1
54.02,4,1
47.21,4,1
48.05,9,1
52.01,7,1
65.61,4,1
58.38,5,1
51.45,5,1
51.74,3,1
54.57,3,1
53.41,8,1
46.4,5,1
39.22,3,1
56.13,5,1
48.63,7,1
40.75,4,1
50.55,5,1
45.64,3,1
59.35,4,1
50.47,1,1
36.82,3,2
46.86,4,1
43.53,2,1
48.16,6,1
48.21,2,1
59.44,7,1
42.9,6,1
57.77,2,1
46.41,5,1
40.59,9,1
44.24,4,1
60.7,1,1
52.5,3,1
56.38,10,1
45.2,6,1
48.46,6,1
48.5,6,1
45.83,2,1
54.89,4,1
38.09,2,2
52.25,5,1
48.21,8,1
50.43,7,1
50.07,2,1
48.47,9,1
66.46,6,1
40.46,5,1
15.52,3,2
62.54,4,1
39.57,6,1
47.88,7,1
27.5,3,2
45.97,7,1
42.01,4,1
62.54,4,1
46.36,3,1
47.58,10,1
51.68,4,1
71.04,4,1
55.43,4,1
36.37,2,2
52.4,3,1
36.89,6,2
54.39,7,1
54.56,5,1
60.76,5,1
30.32,3,2
58.49,6,1
59.55,8,1
30.84,7,2
44.06,1,1
37.52,6,2
64.31,5,1
50.05,4,1
54.52,6,1
56.53,5,1
59.16,8,1
56.49,6,1
33.68,4,2
54.42,7,1
47.62,5,1
52.44,7,1
55.47,7,1
41.38,8,1
60.32,3,1
42.71,5,1
41.83,8,1
48.98,4,1
57.87,5,1
41.84,4,1
55.12,6,1
38.5,1,2
37.73,4,2
36.91,3,2
37.5,6,2
60.28,2,1
45.51,6,1
51.59,4,1
49.46,6,1
57.05,4,1
41.16,2,1
55.64,5,1
56.91,3,1
57.02,7,1
60.17,5,1
45.68,3,1
68.44,6,1
58.77,5,1
51.97,2,1
58.28,5,1
50.39,5,1
23.9,6,2
36.91,6,2
48.86,4,1
70.21,6,1
61.06,3,1
49.54,9,1
47.36,7,1
54.75,5,1
62.01,4,1
56.41,3,1
32.09,2,2
42.75,7,1
73.66,5,1
54.27,5,1
42.71,7,1
46.62,3,1
45.74,4,1
53.28,5,1
41.83,5,1
48.76,4,1
47.89,4,1
49.28,2,1
56.76,6,1
42.92,6,1
44.74,8,1
51.19,5,1
41.78,5,1
47.95,9,1
58.91,6,1
52.6,7,1
53.59,2,1
48.09,6,1
39.06,1,1
57.59,4,1
44.44,3,1
59.68,4,1
57.78,4,1
27.86,8,2
48.62,9,1
54.09,5,1
39.3,2,1
38.32,5,2
43.68,1,1
53.08,5,1
55.26,5,1
51.24,2,1
50.03,3,1
49.38,3,1
68.26,5,1
44.97,8,1
43.36,3,1
42,8,1
56.86,6,1
36.67,7,2
34.28,2,2
57.2,5,1
61.23,7,1
41.21,5,1
43.36,4,1
43.16,6,1
55.7,5,1
46.44,5,1
55.43,3,1
55.96,8,1
60.51,2,1
55.29,6,1
64.11,5,1
47.18,7,1
49.05,5,1
41.91,5,1
39.94,6,1
52.03,5,1
47.6,4,1
57.05,9,1
57.45,5,1
29.65,3,2
44.09,4,1
61.38,9,1
39.04,4,1
48.86,10,1
42.99,8,1
53.51,8,1
63.68,6,1
35.51,7,2
38.84,4,2
52.64,6,1
65.57,6,1
47.85,7,1
57.64,4,1
62.54,7,1
52.2,7,1
35.54,7,2
41.49,6,1
49.31,6,1
33.9,6,2
41.13,4,1
57.57,1,1
40.22,6,1
39.79,4,1
56.45,4,1
51.2,3,1
54.34,6,1
75.52,0,1
37.02,2,2
57.63,8,1
37.91,7,2
36.49,5,2
44.97,9,1
49.35,10,1
53,4,1
56.63,5,1
66.45,4,1
41.42,7,1
59.14,8,1
36.8,4,2
55.03,2,1
51.24,5,1
45.52,4,1
50.75,5,1
73.97,3,1
40.05,5,1
49.55,3,1
60.58,3,1
36.12,4,2
43.7,7,1
77.82,9,1
42.41,7,1
46.46,6,1
42.52,5,1
48.96,6,1
41.59,3,1
58.07,5,1
49.89,9,1
71.42,3,1
48.29,5,1
47.24,3,1
42,5,1
52.11,8,1
54.97,5,1
58.11,9,1
72.99,4,1
58.53,2,1
56.08,4,1
33.77,3,2
39.31,3,1
33.46,8,2
48.75,8,1
64.69,5,1
38.47,2,2
47.13,3,1
50.73,9,1
34.4,2,2
33.48,5,2
45.9,7,1
49.23,3,1
51.51,6,1
49.18,5,1
57.78,5,1
28.74,5,2
45.15,5,1
50.93,7,1
61.99,5,1
47.9,3,1
65.76,4,1
56.57,8,1
48.53,4,1
53.39,7,1
43.86,8,1
58.52,6,1
66.75,7,1
68.18,5,1
62.89,5,1
55.64,4,1
53.12,6,1
57.4,9,1
35.52,6,2
40,3,1
58.5,5,1
27.59,7,2
45.9,6,1
62.47,7,1
38.7,5,2
53.45,4,1
56.48,3,1
58.94,5,1
58.46,8,1
58.46,5,1
57.82,1,1
46.11,4,1
57.25,6,1
35.04,5,2
38.49,7,2
62.91,4,1
51.77,5,1
34.74,8,2
48.67,3,1
72.61,4,1
41.2,3,1
45.08,4,1
54.41,7,1
36.24,2,2
43.29,4,1
35.7,2,2
49.07,7,1
53.42,7,1
66.52,2,1
54.8,8,1
51.22,4,1
40.14,1,1
45.01,7,1
67.27,3,1
55.42,6,1
45,7,1
63.99,5,1
50.13,7,1
41.71,8,1
64.48,3,1
52.58,7,1
50.79,5,1
60.41,8,1
44.97,6,1
43.83,3,1
41.84,7,1
60.82,5,1
46.26,7,1
44.7,4,1
42.04,3,1
38.93,1,1
57.13,5,1
37.52,1,2
59.66,3,1
49.6,4,1
40.66,7,1
48.05,7,1
55.67,3,1
43.35,3,1
46.51,6,1
70.91,7,1
44.03,7,1
35.2,6,2
43.3,5,1
44.78,6,1
52.82,5,1
37.21,5,2
42.7,6,1
33.32,8,2
58.67,6,1
58.13,7,1
47.11,6,1
45.39,6,1
39.61,6,1
63.94,4,1
45.15,3,1
59.59,6,1
64.19,4,1
45.63,7,1
47.64,3,1
63.75,8,1
54.16,5,1
66.42,4,1
45.96,4,1
37.21,6,2
70.05,7,1
54.32,3,1
49.09,5,1
47.47,7,1
56.14,6,1
47.57,5,1
55.15,9,1
52.99,9,1
68.57,4,1
35.46,5,2
27.32,6,2
44.74,2,1
46.55,5,1
36.59,7,2
45.58,0,1
68.64,9,1
36.22,5,2
43.94,6,1
39.21,5,1
32.36,5,2
70.25,6,1
51.06,7,1
46.92,6,1
44.49,7,1
62.01,2,1
32.33,7,2
54.26,3,1
52.53,6,1
50.69,8,1
53.79,5,1
36.19,2,2
42.01,4,1
31.12,5,2
56.16,6,1
62.38,2,1
52.32,6,1
34.81,3,2
42.03,4,1
43.61,8,1
63.2,7,1
41.61,4,1
33.45,5,2
39.06,8,2
53.51,1,1
19.62,3,2
41.26,7,1
51.31,3,1
32.51,2,2
53.18,7,1
51.24,5,1
48.97,4,1
68.7,3,1
74.14,5,1
38.76,6,2
46.39,6,1
56.55,2,1
50.93,10,1
44.51,1,1
76.31,4,1
59.02,3,1
45.85,6,1
59.98,6,1
44.15,5,1
56.09,11,1
41.52,5,1
71.33,4,1
66.13,4,1
38.77,5,2
48.5,7,1
43.65,5,1
52.81,10,1
57.35,7,1
57.27,4,1
58.51,6,1
48.44,7,1
45.99,3,1
62.48,8,1
53.07,1,1
43.96,5,1
55.07,6,1
34.54,2,2
50.82,6,1
55.45,8,1
50.43,7,1
59.81,8,1
48.09,3,1
64.81,8,1
48.74,7,1
53.44,1,1
52.31,3,1
38.29,6,2
47.79,9,1
71.67,7,1
37.41,5,2
52.13,7,1
63.03,2,1
52.1,2,1
47.39,5,1
42.57,5,1
76.89,5,1
52.59,6,1
56.08,8,1
38.66,1,1
45.23,5,1
52.85,5,1
56.87,6,1
36.66,4,2
48.88,2,1
60.99,4,1
48.69,6,1
36.84,6,2
36.08,5,2
49.37,3,1
51.82,5,1
42.53,4,1
44.13,6,1
53.27,6,1
54.33,6,1
65.01,6,1
51.46,4,1
56.07,6,1
53.48,5,1
71.54,1,1
44.69,3,1
36.53,6,2
50.75,4,1
57.83,7,1
47.41,3,1
52.98,6,1
46.99,6,1
66.27,5,1
33.42,9,2
61.98,4,1
34.11,1,2
52.42,7,1
57.05,5,1
54.73,5,1
64.47,2,1
31.38,7,2
68.87,5,1
57.61,5,1
57.65,8,1
58.08,4,1
51.31,6,1
66.32,6,1
51.75,5,1
51.75,6,1
34.26,5,2
48.79,6,1
23.46,2,2
61.32,4,1
44.18,5,1
38.98,7,2
41.52,8,1
64.71,5,1
55.04,4,1
41.94,3,1
46.88,6,1
73.97,3,1
35.55,5,2
51.54,9,1
53.32,4,1
63.86,2,1
33.69,8,2
47.34,6,1
35.38,4,2
61.31,4,1
55.71,1,1
58.87,3,1
43.3,5,1
36.19,8,2
47.62,5,1
39.87,5,1
51.76,9,1
46.82,5,1
59.73,8,1
60.88,7,1
55.99,4,1
46.93,3,1
62.48,2,1
59.47,5,1
49.09,5,1
42.49,5,1
36.63,5,2
57.03,6,1
40.71,6,1
42.1,6,1
53.8,3,1
53.5,2,1
37.27,6,2
44.17,6,1
39.32,5,1
48.39,6,1
57.14,5,1
47.26,3,1
38.03,5,2
31.36,5,2
68.26,6,1
54.23,2,1
52.52,1,1
52.19,3,1
78.26,4,1
78.56,4,1
58.48,5,1
47.36,7,1
50.25,6,1
76.26,2,1
34.12,4,2
49.99,7,1
60.89,6,1
51.83,6,1
40.4,2,1
64.86,8,1
51.32,3,1
55.83,4,1
61.88,2,1
45.35,4,1
55.7,1,1
40.17,2,1
61.46,7,1
41.67,4,1
44.85,3,1
53.25,8,1
41.92,5,1
63.38,4,1
55.52,8,1
59.16,7,1
62.14,6,1
33.4,9,2
41.01,3,1
39.59,3,1
48.31,6,1
47.96,4,1
40.43,5,1
50.35,4,1
46.08,3,1
48.83,5,1
50.29,4,1
56.23,4,1
36.93,4,2
51.13,8,1
45.21,3,1
47.56,8,1
49.5,9,1
41.22,8,1
65.02,3,1
61.22,9,1
39.6,7,1
59.64,6,1
50.75,8,1
55.84,3,1
51.12,6,1
54.09,6,1
45.71,7,1
64.43,5,1
51.49,2,1
42.73,5,1
55.28,2,1
46.47,7,1
65.79,3,1
42.04,5,1
52.88,5,1
51.86,2,1
42.75,4,1
41.34,3,1
37.14,6,2
51.39,9,1
41.93,4,1
64.54,7,1
50.24,8,1
43.43,10,1
26.87,3,2
55.75,3,1
51.23,5,1
45.6,4,1
53.04,9,1
74.2,3,1
68.53,3,1
61.21,1,1
51.91,2,1
39.73,7,1
63.49,4,1
41.37,1,1
58.09,6,1
41.1,4,1
29.32,6,2
53.43,5,1
42.54,5,1
48.38,6,1
53.68,2,1
43.9,1,1
50.56,4,1
62.59,4,1
37.18,3,2
48.98,6,1
46.67,6,1
56.56,3,1
48.74,3,1
63.24,3,1
36.26,11,2
37.36,2,2
48.48,1,1
29.42,7,2
55.04,5,1
54.05,2,1
49.24,1,1
51.72,5,1
43.03,7,1
56.77,7,1
31.62,5,2
30.61,2,2
39.68,4,1
44.39,4,1
47.51,9,1
59.39,5,1
65.3,5,1
44.3,3,1
47.74,3,1
57.2,7,1
37.62,3,2
44.39,3,1
51.67,5,1
59.58,4,1
42.08,7,1
34.59,5,2
60.39,8,1
